section,symbol_type,symbol,size_bytes,vma,runtime_region,lma,load_region
.text,FUNC,SM_Init,34,0x0000999C,?,0x0000999C,?
.text,FUNC,smLinkCheck,54,0x00008F34,?,0x00008F34,?
.text,FUNC,ATT_BuildReadBlobRsp,4,0x00003B78,?,0x00003B78,?
.text,FUNC,LL_CoreDataListInit,120,0x0000C2DE,?,0x0000C2DE,?
.text,FUNC,LL_Init,192,0x0000B08C,?,0x0000B08C,?
.text,FUNC,HOST_LE_ConnectionUpdateCompleteEvent,66,0x0000A9D0,?,0x0000A9D0,?
.text,FUNC,HOST_LE_DataLengthChangeEvent,66,0x0000AB58,?,0x0000AB58,?
.bss,OBJECT,g_LLE_IRQLibHandlerLocation,4,0x20001254,?,-,-
.data,OBJECT,centAddrResUUID,2,0x200011FC,?,0x00016618,?
.bss,OBJECT,pfnTimerCBs,4,0x20001298,?,-,-
.text,FUNC,tmos_msg_init,6,0x00002994,?,0x00002994,?
.highcode,FUNC,FLASH_CMD_ROM_VERIFY,80,0x20000E1C,?,0x00000E20,?
.bss,OBJECT,l2capNumDataPkts,1,0x20001318,?,-,-
.text,FUNC,gattStartTimer,12,0x00005B26,?,0x00005B26,?
.text,FUNC,GAP_SetAdvertisingAdvData,188,0x00005636,?,0x00005636,?
.text,FUNC,GATTServApp_ParamInit,180,0x00005F84,?,0x00005F84,?
.text,FUNC,gapSendEstLinkEvent,192,0x00004828,?,0x00004828,?
.text,FUNC,GATTServApp_UpdateCharCfg,28,0x000067E2,?,0x000067E2,?
.text,FUNC,_close,12,0x00014586,?,0x00014586,?
.text,FUNC,gattServApp_ProcessReadMultiReq,338,0x000071DC,?,0x000071DC,?
.text,FUNC,linkDB_FindByAddr,126,0x00008A32,?,0x00008A32,?
.text,FUNC,ble_ll_common_rand32,38,0x000031D2,?,0x000031D2,?
.text,FUNC,LL_SetDefaultPHY,36,0x0000FA26,?,0x0000FA26,?
